k,lane,drift,drift_prev,A
61,6,116,0,1
16,15,0,54,1
23,2,135,0,1
57,7,1,0,1
16,7,0,0,1
34,5,0,0,169
34,3,100,0,1
61,0,232,0,1
43,10,0,6,1
63,2,194,0,1
49,0,7,0,1
17,7,0,0,1
13,5,0,0,169
19,7,0,0,1
33,3,161,0,1
9,14,0,1,1
21,15,0,52,1
48,2,51,0,1
67,12,0,25,1
61,14,0,73,1
10,8,0,0,1
64,15,0,212,1
12,4,0,0,1
36,4,14,0,1
47,11,0,214,1
24,13,0,220,182
27,15,0,117,1
60,12,0,37,1
42,11,0,162,1
45,15,0,5,1
59,0,111,0,1
9,15,0,211,1
59,2,108,0,1
25,6,0,0,1
45,2,116,0,1
27,9,0,0,32
33,14,0,168,1
19,6,0,0,1
63,10,0,94,1
54,10,0,111,1
47,0,225,0,1
69,15,0,12,1
41,6,0,0,1
63,13,0,207,182
38,8,0,0,1
57,3,75,0,1
50,6,5,0,1
19,3,0,0,1
19,2,8,0,1
59,14,0,180,1
2,9,0,0,32
60,4,31,0,1
69,11,0,95,1
48,3,148,0,1
54,2,186,0,1
2,12,0,0,1
36,15,0,124,1
29,5,0,0,169
20,10,0,0,1
17,11,0,0,1
68,7,50,11,1
45,0,63,0,1
18,15,0,13,1
52,15,0,60,1
8,9,0,0,32
21,5,0,0,169
45,1,89,0,91
58,4,3,0,1
26,7,0,0,1
27,5,0,0,169
66,12,0,43,1
33,0,69,0,1
17,10,0,0,1
20,7,0,0,1
21,10,0,0,1
35,6,0,0,1
58,3,53,0,1
24,6,0,0,1
33,15,0,216,1
62,14,0,171,1
62,1,109,0,91
6,9,0,0,32
62,5,138,0,169
13,4,0,0,1
18,1,236,0,91
